,name,id,price
0,Fire Stone,1,IC$1650
1,Leaf Stone,2,IC$1650
2,Moon Stone,3,IC$1650
3,Sun Stone,4,IC$1650
4,Thunder Stone,5,IC$1650
5,Water Stone,6,IC$1650
6,Shiny Stone,7,IC$1650
7,Dawn Stone,8,IC$1650
8,Dusk Stone,9,IC$1650
9,King's Rock,10,IC$4000
10,Metal Coat,11,IC$4000
11,Deep Sea Tooth,12,IC$4000
12,Deep Sea Scale,13,IC$4000
13,Potion,14,IC$125
14,Super Potion,15,IC$175
15,Ultra Potion,16,IC$500
16,Full Heal,17,IC$2500
17,Awakening,18,IC$400
18,Paralyze Heal,19,IC$400
19,Antidote,20,IC$400
20,Burn Heal,21,IC$400
21,Ice Heal,22,IC$400
22,Poke Ball,23,IC$700
23,Great Ball,24,IC$1200
24,Ultra Ball,25,IC$1500
25,Master Ball,26,IC$50000
26,Dragon Scale,27,IC$4000
27,TM01 - Focus Punch,28,IC$4000
28,TM02 - Dragon Claw,29,IC$4000
29,TM03 - Water Pulse,30,IC$4000
30,TM04 - Calm Mind,31,IC$4000
31,TM05 - Roar,32,IC$4000
32,TM06 - Toxic,33,IC$4000
33,TM07 - Hail,34,IC$4000
34,TM08 - Bulk Up,35,IC$4000
35,TM09 - Bullet Seed,36,IC$4000
36,TM10 - Hidden Power,37,IC$4000
37,TM11 - Sunny Day,38,IC$4000
38,TM12 - Taunt,39,IC$4000
39,TM13 - Ice Beam,40,IC$4000
40,TM14 - Blizzard,41,IC$4000
41,TM15 - Hyper Beam,42,IC$4000
42,TM16 - Light Screen,43,IC$4000
43,TM17 - Protect,44,IC$4000
44,TM18 - Rain Dance,45,IC$4000
45,TM19 - Giga Drain,46,IC$4000
46,TM20 - Safeguard,47,IC$4000
47,TM21 - Frustration,48,IC$4000
48,TM22 - Solarbeam,49,IC$4000
49,TM23 - Iron Tail,50,IC$4000
50,TM24 - Thunderbolt,51,IC$4000
51,TM25 - Thunder,52,IC$4000
52,TM26 - Earthquake,53,IC$4000
53,TM27 - Return,54,IC$4000
